SF	Word	Segmentation	Analysis	Freq
sɑjɑʧ	sayaç	sɑjɑʧ	Stem	58
sɑjgɯɯ	saygıyı	sɑjgɯ-ɯ	Stem-acc	58
segment	segment	segment	Stem	58
seneden	seneden	sene-den	Stem-abl	58
setleri	setleri	set-ler-i	Stem-pl-p3s	58
sijɑsetʧiler	siyasetçiler	sijɑset-ʧi-ler	Stem-ci-pl	58
soɰuktɑn	soğuktan	soɰuk-tɑn	Stem-abl	58
tɑkoz	takoz	tɑkoz	Stem	58
tɑrlɑdɑ	tarlada	tɑrlɑ-dɑ	Stem-loc	58
tɑsɑrɯdɑ	tasarıda	tɑsɑrɯ-dɑ	Stem-loc	58
tɑsvip	tasvip	tɑsvip	Stem	58
tedɑvyl	tedavül	tedɑvyl	Stem	58
tehlikeleri	tehlikeleri	tehlike-ler-i	Stem-pl-p3s	58
tekneler	tekneler	tekne-ler	Stem-pl	58
teknoloʒideki	teknolojideki	teknoloʒi-de-ki	Stem-loc-ki	58
telleri	telleri	tel-ler-i	Stem-pl-p3s	58
terøristler	teröristler	terørist-ler	Stem-pl	58
tesirleri	tesirleri	tesir-ler-i	Stem-pl-p3s	58
titreme	titreme	titre-me	Stem-vn:inf	58
turlɑrɯ	turları	tur-lɑr-ɯ	Stem-pl-p3s	58
umumɑ	umuma	umum-ɑ	Stem-dat	58
ujɑrmɑ	uyarmak	ujɑr-mɑ	Stem-vn:inf	58
ujkusuz	uykusuz	ujku-suz	Stem-siz	58
ujumun	uyumun	ujum-un	Stem-gen	58
uzɑntɯlɯ	uzantılı	uzɑntɯ-lɯ	Stem-li	58
uzɑtɯmɯ	uzatımı	uzɑtɯm-ɯ	Stem-p3s	58
vɑzijet	vaziyet	vɑzijet	Stem	58
vergii	vergiyi	vergi-i	Stem-acc	58
verie	veriye	veri-e	Stem-dat	58
jɯɰɯnɯ	yığını	jɯɰɯn-ɯ	Stem-p3s	58
jyksekte	yüksekte	jyksek-te	Stem-loc	58
jyzyyn	yüzünün	jyz-y-yn	Stem-p3s-gen	58
jyzejiin	yüzeyinin	jyzej-i-in	Stem-p3s-gen	58
jɑɰmɑ	yağma	jɑɰmɑ	Stem	58
jɑʃɑmlɑrɯɯn	yaşamlarının	jɑʃɑm-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	58
jɑkɑn	yakan	jɑk-ɑn	Stem-part:pres	58
jɑrɯʃɯn	yarışın	jɑrɯʃ-ɯn	Stem-gen	58
jetkisiz	yetkisiz	jetki-siz	Stem-siz	58
jumurtɑɯn	yumurtanın	jumurtɑ-ɯn	Stem-gen	58
zorɑ	zora	zor-ɑ	Stem-dat	58
ʧɑtɯʃmɑɯ	çatışması	ʧɑtɯʃ-mɑ-ɯ	Stem-vn:inf-p3s	57
ʧɑtɯʃmɑɑ	çatışmaya	ʧɑtɯʃ-mɑ-ɑ	Stem-vn:inf-dat	57
ʧeʃitler	çeşitler	ʧeʃit-ler	Stem-pl	57
ʧekleri	çekleri	ʧek-ler-i	Stem-pl-p3s	57
øɰrenʤilermizi	öğrencilerimizi	øɰrenʤi-ler-miz-i	Stem-pl-p1p-acc	57
ømyrleri	ömürleri	ømyr-ler-i	Stem-pl-p3s	57
øzelliklerde	özelliklerde	øzel-lik-ler-de	Stem-lik-pl-loc	57
ʃɑirler	şairler	ʃɑir-ler	Stem-pl	57
ʃekildeki	şekildeki	ʃekil-de-ki	Stem-loc-ki	57
yniversitemize	üniversitemize	yniversite-miz-e	Stem-p1p-dat	57
yretimler	üretimler	yretim-ler	Stem-pl	57
ɑʧɯlɯʃtɑ	açılışta	ɑʧɯlɯʃ-tɑ	Stem-loc	57
ɑʃɑɰɯdɑn	aşağıdan	ɑʃɑɰɯ-dɑn	Stem-abl	57
ɑbonelere	abonelere	ɑbone-ler-e	Stem-pl-dat	57
ɑʤentɑlɑrɯ	acentaları	ɑʤentɑ-lɑr-ɯ	Stem-pl-p3s	57
ɑlgoritmɑ	algoritma	ɑlgoritmɑ	Stem	57
ɑmɑʧlɑnɑn	amaçlanan	ɑmɑʧ-lɑn-ɑn	Stem-lan-part:pres	57
ɑnketler	anketler	ɑnket-ler	Stem-pl	57
ɑrɑʃtɯrmɑʤɯlɑrɯn	araştırmacıların	ɑrɑʃtɯrmɑʤɯ-lɑr-ɯn	Stem-pl-gen	57
ɑrɑɯʃlɑrɯ	arayışları	ɑrɑ-ɯʃ-lɑrɯ	Stem-vn:yis-p3p	57
ɑrɑzilerin	arazilerin	ɑrɑzi-ler-in	Stem-pl-gen	57
ɑsɑlɑ	asala	ɑsɑl-ɑ	Stem-dat	57
ɑjnɯɯ	aynısı	ɑjnɯ-ɯ	Stem-p3s	57
ɑzotlu	azotlu	ɑzot-lu	Stem-li	57
bɑʃlɑnɑrɑk	başlanarak	bɑʃ-lɑn-ɑrɑk	Stem-lan-cv:erek	57
bɑlkɑnlɑrdɑ	balkanlarda	bɑlkɑn-lɑr-dɑ	Stem-pl-loc	57
bembejɑz	bembeyaz	bembejɑz	Stem	57
benlik	benlik	benlik	Stem	57
berɑberndeki	beraberindeki	berɑber-n-de-ki	Stem-p2s-loc-ki	57
berber	berber	berber	Stem	57
beste	beste	beste	Stem	57
bikɑrbonɑt	bikarbonat	bikɑrbonɑt	Stem	57
bitme	bitmek	bit-me	Stem-vn:inf	57
burʒuvɑ	burjuva	burʒuvɑ	Stem	57
ʤezɑlɑrɑ	cezalara	ʤezɑ-lɑr-ɑ	Stem-pl-dat	57
døkymde	dökümde	døkym-de	Stem-loc	57
døngyy	döngüsü	døngy-y	Stem-p3s	57
dyʃynʤelernizi	düşüncelerinizi	dyʃynʤe-ler-niz-i	Stem-pl-p2p-acc	57
dyʃynmei	düşünmeyi	dyʃyn-me-i	Stem-vn:inf-acc	57
dɑlgɯʧ	dalgıç	dɑlgɯʧ	Stem	57
dɑvrɑnɯʃlɑrɑ	davranışlara	dɑvrɑn-ɯʃ-lɑr-ɑ	Stem-vn:yis-pl-dat	57
dekontu	dekontu	dekont-u	Stem-p3s	57
delilleri	delilleri	delil-ler-i	Stem-pl-acc	57
dermɑn	derman	dermɑn	Stem	57
diʃeti	dişeti	diʃeti	Stem	57
dildeki	dildeki	dil-de-ki	Stem-loc-ki	57
dinɑmikleri	dinamikleri	dinɑmik-ler-i	Stem-pl-p3s	57
diziler	diziler	dizi-ler	Stem-pl	57
doɰrɑmɑ	doğrama	doɰrɑmɑ	Stem	57
dostluklɑr	dostluklar	dost-luk-lɑr	Stem-lik-pl	57
eʃm	eşim	eʃ-m	Stem-p1s	57
edein	edenin	ede-in	Stem-gen	57
efendimiz	efendimiz	efendi-miz	Stem-p1p	57
egzoz	egzoz	egzoz	Stem	57
ekipmɑnlɑrɯn	ekipmanların	ekipmɑn-lɑr-ɯn	Stem-pl-gen	57
eksikleri	eksikleri	eksik-ler-i	Stem-pl-acc	57
elemɑnɯɯn	elemanının	elemɑn-ɯ-ɯn	Stem-p3s-gen	57
elvɑn	elvan	elvɑn	Stem	57
enzimler	enzimler	enzim-ler	Stem-pl	57
fɑʃist	faşist	fɑʃist	Stem	57
fɑbrikɑlɑrdɑ	fabrikalarda	fɑbrikɑ-lɑr-dɑ	Stem-pl-loc	57
fiʃleri	fişleri	fiʃ-ler-i	Stem-pl-p3s	57
fiiller	fiiller	fiil-ler	Stem-pl	57
fire	fire	fire	Stem	57
fuhuʃ	fuhuş	fuhuʃ	Stem	57
hɯrsɯz	hırsız	hɯrsɯz	Stem	57
hykymette	hükümette	hykymet-te	Stem-loc	57
hɑngileriin	hangilerinin	hɑngi-leri-in	Stem-p3p-gen	57
hɑrekette	harekette	hɑreket-te	Stem-loc	57
hɑriʤindeki	haricindeki	hɑriʤi-n-de-ki	Stem-p2s-loc-ki	57
hɑvuzun	havuzun	hɑvuz-un	Stem-gen	57
hɑjɑtnɯzdɑ	hayatınızda	hɑjɑt-nɯz-dɑ	Stem-p2p-loc	57
hɑjɑtin	hayatin	hɑjɑti-n	Stem-p2s	57
hesɑptɑn	hesaptan	hesɑp-tɑn	Stem-abl	57
heteroʒen	heterojen	heteroʒen	Stem	57
hipotez	hipotez	hipotez	Stem	57
hormonu	hormonu	hormon-u	Stem-p3s	57
hortum	hortum	hortum	Stem	57
hujlu	huylu	huj-lu	Stem-li	57
idɑme	idame	idɑme	Stem	57
ildeki	ildeki	il-de-ki	Stem-loc-ki	57
ilkbɑhɑrdɑ	ilkbaharda	ilkbɑhɑr-dɑ	Stem-loc	57
indirgeme	indirgeme	indirge-me	Stem-vn:inf	57
intikɑm	intikam	intikɑm	Stem	57
irɑdeiin	iradesinin	irɑde-i-in	Stem-p3s-gen	57
kyme	küme	kyme	Stem	57
kɑtkɯɯɯn	katkısının	kɑtkɯ-ɯ-ɯn	Stem-p3s-gen	57
kɑjɑr	kayar	kɑjɑr	Stem	57
kelimeleriin	kelimelerinin	kelime-ler-i-in	Stem-pl-p3s-gen	57
kemikler	kemikler	kemik-ler	Stem-pl	57
kesimlere	kesimlere	kesim-ler-e	Stem-pl-dat	57
kimsesiz	kimsesiz	kimsesiz	Stem	57
klɑvjeden	klavyeden	klɑvje-den	Stem-abl	57
komɑndo	komando	komɑndo	Stem	57
korumɑlɯ	korumalı	korumɑ-lɯ	Stem-li	57
kuʃɑtmɑ	kuşatma	kuʃɑt-mɑ	Stem-vn:inf	57
kumɑndɑlɯ	kumandalı	kumɑndɑ-lɯ	Stem-li	57
kutlɑmɑ	kutlamak	kutlɑ-mɑ	Stem-vn:inf	57
limitler	limitler	limit-ler	Stem-pl	57
myʤevher	mücevher	myʤevher	Stem	57
myfettiʃi	müfettişi	myfettiʃ-i	Stem-p3s	57
mykerrer	mükerrer	mykerrer	Stem	57
mylteʤilere	mültecilere	mylteʤi-ler-e	Stem-pl-dat	57
myzɑkerelerin	müzakerelerin	myzɑkere-ler-in	Stem-pl-gen	57
myzisjen	müzisyen	myzisjen	Stem	57
mɑɑʃɯ	maaşı	mɑɑʃ-ɯ	Stem-p3s	57
mɑhkemelerde	mahkemelerde	mɑhkeme-ler-de	Stem-pl-loc	57
mɑlijetin	maliyetin	mɑlijet-in	Stem-gen	57
mɑzeretsiz	mazeretsiz	mɑzeret-siz	Stem-siz	57
menzil	menzil	menzil	Stem	57
miktɑrlɑrɯɯn	miktarlarının	miktɑr-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	57
minɑrei	minaresi	minɑre-i	Stem-p3s	57
minerɑli	minerali	minerɑl-i	Stem-p3s	57
minerɑllerin	minerallerin	minerɑl-ler-in	Stem-pl-gen	57
mirzɑ	mirza	mirzɑ	Stem	57
motifler	motifler	motif-ler	Stem-pl	57
nɑrkotik	narkotik	nɑrkotik	Stem	57
nɑvigɑsjon	navigasyon	nɑvigɑsjon	Stem	57
notɑ	nota	notɑ	Stem	57
numuneler	numuneler	numune-ler	Stem-pl	57
nutuk	nutuk	nutuk	Stem	57
olɑʤɑklɑrɯ	olacakları	ol-ɑʤɑk-lɑrɯ	Stem-vn:fut-p3p	57
pɑrfym	parfüm	pɑrfym	Stem	57
pelin	pelin	pelin	Stem	57
pejgɑmbermiz	peygamberimiz	pejgɑmber-miz	Stem-p1p	57
politikɑmɯz	politikamız	politikɑ-mɯz	Stem-p1p	57
pompɑlɑr	pompalar	pompɑ-lɑr	Stem-pl	57
primler	primler	prim-ler	Stem-pl	57
problemiin	probleminin	problem-i-in	Stem-p3s-gen	57
problemli	problemli	problem-li	Stem-li	57
progrɑmdɑki	programdaki	progrɑm-dɑ-ki	Stem-loc-ki	57
reʧeteler	reçeteler	reʧete-ler	Stem-pl	57
rehberleri	rehberleri	rehber-ler-i	Stem-pl-p3s	57
rezistɑns	rezistans	rezistɑns	Stem	57
rizikoun	rizikonun	riziko-un	Stem-gen	57
sɯkɯntɯlɑrɑ	sıkıntılara	sɯkɯntɯ-lɑr-ɑ	Stem-pl-dat	57
søzleʃmeden	sözleşmeden	søzleʃme-den	Stem-abl	57
sɑɑtiin	saatinin	sɑɑt-i-in	Stem-p3s-gen	57
sɑntrɑller	santraller	sɑntrɑl-ler	Stem-pl	57
silɑhlɑnmɑ	silahlanma	silɑh-lɑn-mɑ	Stem-lan-vn:inf	57
sinsi	sinsi	sinsi	Stem	57
sirke	sirke	sirk-e	Stem-dat	57
suʧluluk	suçluluk	suʧ-lu-luk	Stem-li-lik	57
sunumlɑr	sunumlar	sunum-lɑr	Stem-pl	57
tɑʃɯmɑlɑrɯ	taşımaları	tɑʃɯ-mɑ-lɑr-ɯ	Stem-vn:inf-pl-p3s	57
tɑhrir	tahrir	tɑhrir	Stem	57
tɑkɯlɯp	takılıp	tɑkɯl-ɯp	Stem-cv:ip	57
tɑksitte	taksitte	tɑksit-te	Stem-loc	57
tɑneli	taneli	tɑne-li	Stem-li	57
tɑneiin	tanesinin	tɑne-i-in	Stem-p3s-gen	57
tɑnrɯʧɑ	tanrıça	tɑnrɯʧɑ	Stem	57
tɑnrɯlɑr	tanrılar	tɑnrɯ-lɑr	Stem-pl	57
teklifte	teklifte	teklif-te	Stem-loc	57
temsilʤilikler	temsilcilikler	temsilʤi-lik-ler	Stem-lik-pl	57
terminoloʒi	terminoloji	terminoloʒi	Stem	57
tohumu	tohumu	tohum-u	Stem-p3s	57
trɑfikte	trafikte	trɑfik-te	Stem-loc	57
trɑvmɑɑ	travmaya	trɑvmɑ-ɑ	Stem-dat	57
tugɑj	tugay	tugɑj	Stem	57
uɰrɑɑrɑk	uğrayarak	uɰrɑ-ɑrɑk	Stem-cv:erek	57
ufuklɑr	ufuklar	ufuk-lɑr	Stem-pl	57
ulɑʃɑbilmei	ulaşabilmesi	ulɑʃ-ɑbil-me-i	Stem-abil-vn:inf-p3s	57
umutsuz	umutsuz	umut-suz	Stem-siz	57
verilerden	verilerden	veri-ler-den	Stem-pl-abl	57
jyksekokullɑrdɑ	yüksekokullarda	jyksekokul-lɑr-dɑ	Stem-pl-loc	57
jɑnlɯʃɯ	yanlışı	jɑnlɯʃ-ɯ	Stem-p3s	57
jɑpɯʃtɯrɯʤɯlɑr	yapıştırıcılar	jɑpɯʃtɯrɯʤɯ-lɑr	Stem-pl	57
jɑrɑrlɑnmɑɑ	yararlanmaya	jɑrɑr-lɑn-mɑ-ɑ	Stem-lan-vn:inf-dat	57
jeniliklerin	yeniliklerin	jeni-lik-ler-in	Stem-lik-pl-gen	57
jetiʃme	yetişme	jetiʃ-me	Stem-vn:inf	57
jokluk	yokluk	jokluk	Stem	57
zɑmɑnlɑrɑ	zamanlara	zɑmɑn-lɑr-ɑ	Stem-pl-dat	57
ʧɑresizlik	çaresizlik	ʧɑre-siz-lik	Stem-siz-lik	56
ʧubuklɑrɯ	çubukları	ʧubuk-lɑr-ɯ	Stem-pl-p3s	56
ødenti	ödenti	ødenti	Stem	56
ølymlere	ölümlere	ølym-ler-e	Stem-pl-dat	56
ønemin	önemin	ønem-in	Stem-gen	56
ønergei	önergesi	ønerge-i	Stem-p3s	56
ʃɑp	şap	ʃɑp	Stem	56
ynitein	ünitenin	ynite-in	Stem-gen	56
yretiʤiiin	üreticisinin	yretiʤi-i-in	Stem-p3s-gen	56
ɑɰɯrlɯktɑ	ağırlıkta	ɑɰɯrlɯk-tɑ	Stem-loc	56
ɑɰrɯlɑr	ağrılar	ɑɰrɯ-lɑr	Stem-pl	56
ɑrkɑdɑʃɯɯn	arkadaşının	ɑrkɑdɑʃ-ɯ-ɯn	Stem-p3s-gen	56
ɑsitleri	asitleri	ɑsit-ler-i	Stem-pl-p3s	56
ɑjrɯntɯɯ	ayrıntısı	ɑjrɯntɯ-ɯ	Stem-p3s	56
bɯrɑkmɑɯ	bırakması	bɯrɑk-mɑ-ɯ	Stem-vn:inf-p3s	56
bɑʃɑrɯlɑrɑ	başarılara	bɑʃɑrɯ-lɑr-ɑ	Stem-pl-dat	56
bɑʃbɑkɑnɯn	başbakanın	bɑʃbɑkɑn-ɯn	Stem-gen	56
bɑʃlɑdɯklɑrɯ	başladıkları	bɑʃlɑ-dɯk-lɑrɯ	Stem-part:past-p3p	56
bɑʃlɑrɯ	başları	bɑʃ-lɑr-ɯ	Stem-pl-p3s	56
bɑbɑdɑn	babadan	bɑbɑ-dɑn	Stem-abl	56
bɑhɑdɯrlɯ	bahadırlı	bɑhɑdɯr-lɯ	Stem-li	56
bɑtɑrjɑ	batarya	bɑtɑrjɑ	Stem	56
bozmɑdɑn	bozmadan	boz-mɑ-dɑn	Stem-vn:inf-abl	56
buhɑrlɑʃmɑ	buharlaşma	buhɑrlɑʃ-mɑ	Stem-vn:inf	56
buldukʧɑ	buldukça	bul-dukʧɑ	Stem-cv:dikce	56
ʤɑmdɑn	camdan	ʤɑm-dɑn	Stem-abl	56
ʤɑnlɯɯn	canlının	ʤɑnlɯ-ɯn	Stem-gen	56
ʤephɑne	cephane	ʤephɑne	Stem	56
dyɰym	düğüm	dyɰym	Stem	56
dɑɰɯlmɑ	dağılma	dɑɰɯl-mɑ	Stem-vn:inf	56
dɑɰdɑ	dağda	dɑɰ-dɑ	Stem-loc	56
dɑirelern	dairelerin	dɑire-ler-n	Stem-pl-p2s	56
dɑvetliler	davetliler	dɑvet-li-ler	Stem-li-pl	56
delikleri	delikleri	delik-ler-i	Stem-pl-p3s	56
denetlenen	denetlenen	denet-len-en	Stem-lan-part:pres	56
dengede	dengede	denge-de	Stem-loc	56
destekten	destekten	destek-ten	Stem-abl	56
dilimleri	dilimleri	dilim-ler-i	Stem-pl-p3s	56
direnen	direnen	diren-en	Stem-part:pres	56
donmɑ	donma	don-mɑ	Stem-vn:inf	56
dostɑne	dostane	dostɑne	Stem	56
eɰilme	eğilme	eɰil-me	Stem-vn:inf	56
editørler	editörler	editør-ler	Stem-pl	56
ekipmɑnɯ	ekipmanı	ekipmɑn-ɯ	Stem-p3s	56
epidemijoloʒik	epidemiyolojik	epidemijoloʒik	Stem	56
ezɑn	ezan	ezɑn	Stem	56
fɯrɯnɑ	fırına	fɯrɯn-ɑ	Stem-dat	56
fijɑtɯn	fiyatın	fijɑt-ɯn	Stem-gen	56
fotoɰrɑflɯ	fotoğraflı	fotoɰrɑf-lɯ	Stem-li	56
gøʧe	göçe	gøʧ-e	Stem-dat	56
gønderip	gönderip	gønder-ip	Stem-cv:ip	56
gøryʃte	görüşte	gøryʃ-te	Stem-loc	56
gøstermeen	göstermeyen	gøster-me-en	Stem-neg-part:pres	56
gyller	güller	gyl-ler	Stem-pl	56
gyvene	güvene	gyven-e	Stem-dat	56
geliʃmeiin	gelişmesinin	geliʃ-me-i-in	Stem-vn:inf-p3s-gen	56
hykymetmizin	hükümetimizin	hykymet-miz-in	Stem-p1p-gen	56
hɑlykɑrdɑ	halükarda	hɑlykɑr-dɑ	Stem-loc	56
hesɑplɯ	hesaplı	hesɑp-lɯ	Stem-li	56
huzurɑ	huzura	huzur-ɑ	Stem-dat	56
ilʧemizde	ilçemizde	ilʧe-miz-de	Stem-p1p-loc	56
inʃɑɑtɯn	inşaatın	inʃɑɑt-ɯn	Stem-gen	56
ispɑnjɑ	ispanya	ispɑnjɑ	Stem	56
izolɑsjonu	izolasyonu	izolɑsjon-u	Stem-p3s	56
kɯʃɯ	kışı	kɯʃ-ɯ	Stem-p3s	56
kɑpɑtɑrɑk	kapatarak	kɑpɑt-ɑrɑk	Stem-cv:erek	56
kɑrɑrsɯz	kararsız	kɑrɑr-sɯz	Stem-siz	56
kɑtilm	katilim	kɑtil-m	Stem-p1s	56
kɑvuʃmɑ	kavuşmak	kɑvuʃ-mɑ	Stem-vn:inf	56
keserek	keserek	kes-erek	Stem-cv:erek	56
koleksijon	koleksiyon	koleksijon	Stem	56
kombinɑsjon	kombinasyon	kombinɑsjon	Stem	56
kontrolden	kontrolden	kontrol-den	Stem-abl	56
konutlɑrɯ	konutları	konut-lɑr-ɯ	Stem-pl-acc	56
konutu	konutu	konut-u	Stem-p3s	56
kullɑnɯʤɯɯɯn	kullanıcısının	kul-lɑn-ɯʤɯ-ɯ-ɯn	Stem-lan-yici-p3s-gen	56
kullɑnɯmdɑn	kullanımdan	kullɑnɯm-dɑn	Stem-abl	56
kurtɑrɑn	kurtaran	kurtɑr-ɑn	Stem-part:pres	56
kuzejbɑtɯ	kuzeybatı	kuzejbɑtɯ	Stem	56
lɑmbɑlɑr	lambalar	lɑmbɑ-lɑr	Stem-pl	56
lɑv	lav	lɑv	Stem	56
mydɑhɑlei	müdahaleyi	mydɑhɑle-i	Stem-acc	56
myhendislerin	mühendislerin	myhendis-ler-in	Stem-pl-gen	56
myzɑkereler	müzakereler	myzɑkere-ler	Stem-pl	56
mɑɰɑzɑlɑrɯ	mağazaları	mɑɰɑzɑ-lɑr-ɯ	Stem-pl-p3s	56
mɑkroekonomik	makroekonomik	mɑkroekonomik	Stem	56
medjɑɑ	medyaya	medjɑ-ɑ	Stem-dat	56
meslektɑʃmɯz	meslektaşımız	meslektɑʃ-mɯz	Stem-p1p	56
metɑfizik	metafizik	metɑfizik	Stem	56
modylɑsjon	modülasyon	modylɑsjon	Stem	56
modemi	modemi	modem-i	Stem-p3s	56
nøtron	nötron	nøtron	Stem	56
nezɑret	nezaret	nezɑret	Stem	56
notlɑrɯn	notların	not-lɑr-ɯn	Stem-pl-gen	56
okʧuluk	okçuluk	ok-ʧu-luk	Stem-ci-lik	56
olɑnɑklɑrdɑn	olanaklardan	olɑnɑk-lɑr-dɑn	Stem-pl-abl	56
oluʃumlɑrɯ	oluşumları	oluʃum-lɑr-ɯ	Stem-pl-acc	56
ondɑlɯk	ondalık	ondɑlɯk	Stem	56
onsekiz	onsekiz	onsekiz	Stem	56
pyf	püf	pyf	Stem	56
pɑrmɑklɑrɯ	parmakları	pɑrmɑk-lɑr-ɯ	Stem-pl-p3s	56
pɑrselɑsjon	parselasyon	pɑrselɑsjon	Stem	56
pɑzɑrlɑrɯ	pazarları	pɑzɑr-lɑr-ɯ	Stem-pl-p3s	56
primin	primin	prim-in	Stem-gen	56
progrɑmmɯz	programımız	progrɑm-mɯz	Stem-p1p	56
proteinlerin	proteinlerin	protein-ler-in	Stem-pl-gen	56
puɑntɑʒ	puantaj	puɑntɑʒ	Stem	56
rɑhip	rahip	rɑhip	Stem	56
reɑnimɑsjon	reanimasyon	reɑnimɑsjon	Stem	56
restorɑsjonu	restorasyonu	restorɑsjon-u	Stem-p3s	56
ruhsɑtlɑrɯ	ruhsatları	ruhsɑt-lɑr-ɯ	Stem-pl-p3s	56
sɯnɯftɑki	sınıftaki	sɯnɯf-tɑ-ki	Stem-loc-ki	56
sɑɰlɑmlɯk	sağlamlık	sɑɰlɑm-lɯk	Stem-lik	56
sɑhile	sahile	sɑhil-e	Stem-dat	56
sɑhipler	sahipler	sɑhip-ler	Stem-pl	56
sɑjfɑmɯzdɑn	sayfamızdan	sɑjfɑ-mɯz-dɑn	Stem-p1p-abl	56
sendrom	sendrom	sendrom	Stem	56
senei	senesi	sene-i	Stem-p3s	56
sevijeleriin	seviyelerinin	sevije-ler-i-in	Stem-pl-p3s-gen	56
skor	skor	skor	Stem	56
sorulɑrdɑn	sorulardan	soru-lɑr-dɑn	Stem-pl-abl	56
sosjɑlizmin	sosyalizmin	sosjɑlizm-in	Stem-gen	56
sojkɯrɯmɯ	soykırımı	sojkɯrɯm-ɯ	Stem-p3s	56
sponsoru	sponsoru	sponsor-u	Stem-p3s	56
stronsijum	stronsiyum	stronsijum	Stem	56
sunduklɑrɯ	sundukları	sun-duk-lɑrɯ	Stem-part:past-p3p	56
tymørlerde	tümörlerde	tymør-ler-de	Stem-pl-loc	56
tyrkyy	türküsü	tyrky-y	Stem-p3s	56
tɑbiɑtɯn	tabiatın	tɑbiɑt-ɯn	Stem-gen	56
tɑkipsizlik	takipsizlik	tɑkipsizlik	Stem	56
tɑlimɑtlɑr	talimatlar	tɑlimɑt-lɑr	Stem-pl	56
tɑtminkɑr	tatminkar	tɑtminkɑr	Stem	56
teklifleriin	tekliflerinin	teklif-ler-i-in	Stem-pl-p3s-gen	56
teleks	teleks	teleks	Stem	56
televizjonun	televizyonun	televizjon-un	Stem-gen	56
tertibɑtɯ	tertibatı	tertibɑt-ɯ	Stem-p3s	56
tesislerden	tesislerden	tesis-ler-den	Stem-pl-abl	56
torbɑɯ	torbası	torbɑ-ɯ	Stem-p3s	56
trɑvmɑɯ	travması	trɑvmɑ-ɯ	Stem-p3s	56
tutɑrlɯlɯk	tutarlılık	tutɑr-lɯ-lɯk	Stem-li-lik	56
umutlɑr	umutlar	umut-lɑr	Stem-pl	56
ujɑrɯɯ	uyarıyı	ujɑrɯ-ɯ	Stem-acc	56
vɑpur	vapur	vɑpur	Stem	56
virgyl	virgül	virgyl	Stem	56
virmɑn	virman	virmɑn	Stem	56
vurmɑ	vurmak	vur-mɑ	Stem-vn:inf	56
jønler	yönler	jøn-ler	Stem-pl	56
jɑkɯtlɑrɯn	yakıtların	jɑkɯt-lɑr-ɯn	Stem-pl-gen	56
jɑrɯʃɑ	yarışa	jɑrɯʃ-ɑ	Stem-dat	56
jɑrɯnɑ	yarına	jɑrɯn-ɑ	Stem-dat	56
jɑrɯnlɑrɑ	yarınlara	jɑrɯn-lɑr-ɑ	Stem-pl-dat	56
zijɑretten	ziyaretten	zijɑret-ten	Stem-abl	56
ʧøzymleriin	çözümlerinin	ʧøzym-ler-i-in	Stem-pl-p3s-gen	55
ʧeʃmei	çeşmesi	ʧeʃme-i	Stem-p3s	55
ʧerʧevein	çerçevenin	ʧerʧeve-in	Stem-gen	55
ʧiftin	çiftin	ʧift-in	Stem-gen	55
ʧizgie	çizgiye	ʧizgi-e	Stem-dat	55
ɯʃɯnlɑrɯɯn	ışınlarının	ɯʃɯn-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	55
ɯrkʧɯ	ırkçı	ɯrk-ʧɯ	Stem-ci	55
ɯssɯz	ıssız	ɯssɯz	Stem	55
øɰretimiin	öğretiminin	øɰretim-i-in	Stem-p3s-gen	55
økyz	öküz	økyz	Stem	55
ørneklere	örneklere	ørnek-ler-e	Stem-pl-dat	55
ystyste	üstüste	ystyste	Stem	55
ɑʤɯɯ	acıyı	ɑʤɯ-ɯ	Stem-acc	55
ɑilem	ailem	ɑile-m	Stem-p1s	55
ɑksɑklɯklɑr	aksaklıklar	ɑksɑk-lɯk-lɑr	Stem-lik-pl	55
ɑktɑrɑrɑk	aktararak	ɑktɑr-ɑrɑk	Stem-cv:erek	55
ɑlɯnmɑɑn	alınmayan	ɑlɯn-mɑ-ɑn	Stem-neg-part:pres	55
ɑlɑ	ala	ɑlɑ	Stem	55
ɑnɑhtɑrlɑmɑlɯ	anahtarlamalı	ɑnɑhtɑr-lɑ-mɑlɯ	Stem-la-obl	55
ɑnlɑʃmɑɯɯn	anlaşmasının	ɑnlɑʃmɑ-ɯ-ɯn	Stem-p3s-gen	55
ɑrɑmɑɯ	aramayı	ɑrɑ-mɑ-ɯ	Stem-vn:inf-acc	55
ɑrɑɯʃ	arayış	ɑrɑ-ɯʃ	Stem-vn:yis	55
ɑtɯftɑ	atıfta	ɑtɯf-tɑ	Stem-loc	55
byrokrɑsiin	bürokrasinin	byrokrɑsi-in	Stem-gen	55
byrokrɑtlɑr	bürokratlar	byrokrɑt-lɑr	Stem-pl	55
bɑʃlɑngɯʧtɑki	başlangıçtaki	bɑʃlɑngɯʧ-tɑ-ki	Stem-loc-ki	55
bɑskɯnɯ	baskını	bɑskɯn-ɯ	Stem-p3s	55
beher	beher	beher	Stem	55
bellekte	bellekte	bellek-te	Stem-loc	55
bereketli	bereketli	bereket-li	Stem-li	55
bilɑnʧou	bilançosu	bilɑnʧo-u	Stem-p3s	55
bilgilerde	bilgilerde	bilgi-ler-de	Stem-pl-loc	55
bilimde	bilimde	bilim-de	Stem-loc	55
